Designator,Mid X,Mid Y,Rotation,Layer
C1,-17.25,16.0,90.0,top
C10,4.249998,21.3375,270.0,top
C2,-17.25,12.5,270.0,top
C3,-12.25,5.5,270.0,top
C5,8.75,-8.5,0.0,top
C6,8.75,-1.5,0.0,top
C7,-0.25,-13.5,90.0,top
C8,8.75,-15.5,0.0,top
C9,21.75,-13.5,90.0,top
D3,2.3875,-19.9875,0.0,top
PRG,0.25,-4.5,0.0,top
PWR,-24.35,4.0625,90.0,top
R1,-3.75,16.5,180.0,top
R10,12.75,-1.5,180.0,top
R11,-0.25,-9.5,270.0,top
R12,12.75,-15.5,180.0,top
R13,21.75,-9.5,270.0,top
R14,-3.75,3.25,0.0,top
R15,-20.75,5.0,180.0,top
R16,-1.3375,-17.9875,0.0,top
R17,2.4125,-17.9875,0.0,top
R2,-3.75,14.5,0.0,top
R3,-3.75,12.0,180.0,top
R4,-3.75,10.0,0.0,top
R5,-3.75,7.5,180.0,top
R6,-3.75,5.5,0.0,top
R7,-8.25,25.0,90.0,top
R8,5.75,25.0,90.0,top
R9,12.75,-8.5,180.0,top
RST,0.25,0.0,0.0,top
